pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,discoverymethod,disc_year,pl_orbper,pl_orbeccen,st_rad,st_logg,pl_insol
TOI-880 c,TOI-880,4.95,,0.0635,5050.0,0.87,805.0,Transit,2025,6.3872703,,0.83,4.53,
TOI-880.02,TOI-880,2.19,,0.0349,5050.0,0.87,1085.0,Transit,2024,2.57571,,0.83,4.53,
WASP-69 b,WASP-69,11.21,82.58,0.0453,4792.0,0.83,971.0,Transit,2014,3.86813881,0.0,0.801,4.57,
K2-233 b,K2-233,1.315,2.4,0.03293,4796.0,0.79,1127.0,Transit,2018,2.467583,0.0,0.71,4.53,269.0
K2-233 c,K2-233,1.272,4.6,0.0664,4796.0,0.79,794.0,Transit,2018,7.06024,0.0,0.71,4.53,66.2
K2-233 d,K2-233,2.363,10.3,0.1516,4796.0,0.79,525.0,Transit,2018,24.3681,0.18,0.71,4.53,12.7
TOI-5817 b,TOI-5817,3.08,10.3,0.1223,5770.0,0.97,950.0,Transit,2025,15.61031,0.2,1.427,4.12,
TOI-5800 b,TOI-5800,2.46,9.5,0.0344,4850.0,0.778,1108.0,Transit,2025,2.6278838,0.3,0.773,4.56,
TOI-5795 b,TOI-5795,5.62,23.66,0.064,5715.0,0.901,1136.78,Transit,2025,6.1406325,0.25,1.082,4.32,
TOI-654.01,TOI-654,2.378,8.71,0.01944,3521.0,0.419,794.0,Transit,2024,1.527561,0.0,0.43,4.793,65.0
TOI-7149 b,TOI-7149,13.2,224.0,0.02603,3363.0,0.344,593.0,Transit,2025,2.65206166,0.078,0.351,4.88,20.6
Ross 176 b,Ross 176,1.84,4.57,0.0464,4041.0,0.577,682.0,Transit,2025,5.0066338,0.25,0.569,5.07,36.2
HD 235088 b,HD 235088,1.982,4.15,0.0706,5075.0,0.849,,Transit,2023,7.4341325,0.0,0.772,4.55,
TOI-3464 b,TOI-3464,13.7646283,397.28550875,0.0515,6370.0,1.363,1693.0,Transit,2025,3.6515568,0.25,1.56,4.185,1370.0
TOI-2169 A b,TOI-2169 A,12.50922246,329.58805806,0.0896,6270.0,1.42,1364.0,Transit,2025,8.2148282,0.045,1.82,4.069,577.0
TOI-3474 b,TOI-3474,14.67255574,193.87532827,0.0502,6020.0,1.121,1451.0,Transit,2025,3.8795105,0.13,1.256,4.292,740.0
TOI-3523 A b,TOI-3523 A,15.9727975,435.42491759,0.03559,6450.0,1.131,1984.0,Transit,2025,2.30458952,0.047,1.448,4.171,2590.0
TOI-3593 b,TOI-3593,11.02963701,565.73456446,0.0481,5550.0,1.015,1170.0,Transit,2025,3.8212867,0.105,0.918,4.519,308.0
TOI-3682 b,TOI-3682,12.80065596,69.28659273,0.048,5703.0,1.32,1657.0,Transit,2025,3.3462406,0.22,1.735,4.077,1258.0
TOI-2031 A b,TOI-2031 A,14.20177855,254.2627256,0.066,6490.0,1.174,1358.0,Transit,2025,5.71548654,0.076,1.241,4.32,567.0
TOI-3135 b,TOI-3135,13.65253849,327.36325921,0.04756,5890.0,1.044,1292.0,Transit,2025,3.7065585,0.24,0.985,4.469,464.0
L 98-59 d,L 98-59,1.627,1.64,0.0494,3415.0,0.2923,416.0,Transit,2019,7.450729,0.006,0.3155,4.91,4.97
TOI-2382 b,TOI-2382,12.25141591,235.19302118,0.059,6033.0,1.26,1426.0,Transit,2025,4.6612061,0.18,1.417,4.235,689.0
TOI-2876 b,TOI-2876,9.6397234,54.03082919,0.0654,5271.0,0.939,929.0,Transit,2025,6.2996431,0.13,0.873,4.529,124.2
TOI-2886 b,TOI-2886,18.6405349,444.9597698,0.02871,6240.0,1.229,1978.0,Transit,2025,1.60200105,0.11,1.241,4.34,2560.0
TOI-2346 b,TOI-2346,16.11851425,394.10722468,0.0473,6480.0,1.271,1689.0,Transit,2025,3.3312029,0.086,1.38,4.265,1360.0
TOI-2986 b,TOI-2986,9.292245,96.61983573,0.04489,5906.0,1.122,1622.0,Transit,2025,3.2783662,0.14,1.458,4.165,1156.0
TOI-2992 b,TOI-2992,13.75341932,1058.36859531,0.0434,6000.0,1.21,1726.0,Transit,2025,3.007812,0.089,1.545,4.139,1484.0
TOI-3160 A b,TOI-3160 A,13.7646283,378.21580433,0.0505,6190.0,1.088,1539.0,Transit,2025,3.971281,0.18,1.346,4.217,933.0
