pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,discoverymethod,disc_year,pl_orbper,pl_orbeccen,st_rad,st_logg,pl_insol,stellar_luminosity,hz_inner,hz_outer,hz_center,hz_width,hz_position,in_habitable_zone,hz_distance_factor,esi_radius,esi_mass,esi_temperature,esi_composite,esi_surface,escape_velocity_ratio,atmospheric_retention,stellar_flux,stellar_class,stellar_temp_habitability,stellar_mass_habitability,stellar_lifetime_gyr,hz_score,esi_score,atm_score,stellar_score,habitability_score
TOI-880 c,TOI-880,4.95,,0.0635,5050.0,0.87,805.0,Transit,2025,6.3872703,,0.83,4.53,,0.6142107088596144,0.7445301637581931,1.0736908677354997,0.9091105157468464,0.32916070397730657,0.06984849355508103,False,-1.1558429560175252,0.33613445378151263,,0.5269899359560841,,0.4208794058527367,,,,K,0.9,0.935,14.164520211887897,0.0,0.4208794058527367,0.5,0.9,0.316263821755821
TOI-880.02,TOI-880,2.19,,0.0349,5050.0,0.87,1085.0,Transit,2024,2.57571,,0.83,4.53,,0.6142107088596144,0.7445301637581931,1.0736908677354997,0.9091105157468464,0.32916070397730657,0.03838917204838312,False,-1.415791254350321,0.6269592476489028,,0.4195193008011653,,0.5128562227413179,,,,K,0.9,0.935,14.164520211887897,0.0,0.5128562227413179,0.5,0.9,0.3438568668223954
WASP-69 b,WASP-69,11.21,82.58,0.0453,4792.0,0.83,971.0,Transit,2014,3.86813881,0.0,0.801,4.57,,0.5209227484918181,0.6856622933440818,0.9887972019804129,0.8372297476622473,0.3031349086363311,0.05410701199579782,False,-1.266746448872216,0.16380016380016382,0.023929169657812888,0.4575059571088165,0.12149159618561056,0.27375089171357025,2.714154920285747,1.0,,K,0.9,0.915,15.93326462326758,0.0,0.27375089171357025,1.0,0.9,0.3721252675140711
K2-233 b,K2-233,1.315,2.4,0.03293,4796.0,0.79,1127.0,Transit,2018,2.467583,0.0,0.71,4.53,269.0,0.43822264873188616,0.6288846797947356,0.9069179066513557,0.7679012932230457,0.27803322685662013,0.042883115695489665,False,-1.3677136682732831,0.8639308855291576,0.5882352941176471,0.40706713780918724,0.5914236776203492,0.593024344219789,1.3509607903393128,1.0,269.0,K,0.9,0.895,18.027365821599485,0.0,0.593024344219789,1.0,0.9,0.4679073032659367
K2-233 c,K2-233,1.272,4.6,0.0664,4796.0,0.79,794.0,Transit,2018,7.06024,0.0,0.71,4.53,66.2,0.43822264873188616,0.6288846797947356,0.9069179066513557,0.7679012932230457,0.27803322685662013,0.08646944677134873,False,-1.0631373196171736,0.8802816901408451,0.3571428571428572,0.5323475046210722,0.5510863068209204,0.6845551556376585,1.9016708972001075,1.0,66.2,K,0.9,0.895,18.027365821599485,0.0,0.6845551556376585,1.0,0.9,0.4953665466912976
K2-233 d,K2-233,2.363,10.3,0.1516,4796.0,0.79,525.0,Transit,2018,24.3681,0.18,0.71,4.53,12.7,0.43822264873188616,0.6288846797947356,0.9069179066513557,0.7679012932230457,0.27803322685662013,0.19742120678518776,False,-0.7046061976891562,0.5947071067499257,0.17699115044247782,0.7084870848708487,0.4209161016141731,0.64910885405549,2.0877897040884346,1.0,12.7,K,0.9,0.895,18.027365821599485,0.0,0.64910885405549,1.0,0.9,0.484732656216647
TOI-5817 b,TOI-5817,3.08,10.3,0.1223,5770.0,0.97,950.0,Transit,2025,15.61031,0.2,1.427,4.12,,0.8988786596538656,0.9006875098154818,1.2988861983654845,1.0997868540904832,0.3981986885500026,0.11120336594779662,False,-0.9538820671565615,0.4901960784313726,0.17699115044247782,0.4652665589660743,0.34303708600834265,0.4775686784436649,1.828703323165309,1.0,,G,1.0,0.985,10.791222926279298,0.0,0.4775686784436649,1.0,1.0,0.44327060353309944
TOI-5800 b,TOI-5800,2.46,9.5,0.0344,4850.0,0.778,1108.0,Transit,2025,2.6278838,0.3,0.773,4.56,,0.41536374784896557,0.612262837704275,0.8829474606893231,0.747605149196799,0.27068462298504803,0.04601359425755449,False,-1.337113841387344,0.5780346820809248,0.19047619047619047,0.4126074498567335,0.3568156432980594,0.48836606772190677,1.965143408987288,1.0,,K,0.9,0.889,18.730570590934096,0.0,0.48836606772190677,1.0,0.9,0.4365098203165721
TOI-5795 b,TOI-5795,5.62,23.66,0.064,5715.0,0.901,1136.78,Transit,2025,6.1406325,0.25,1.082,4.32,,0.6942833789448168,0.7915748540079436,1.1415342631482976,0.9665545585781206,0.34995940914035406,0.06621457571329356,False,-1.1790463994563916,0.3021148036253777,0.08110300081103006,0.4042729403837786,0.21476385995875286,0.34948081491706995,2.0518197807827536,1.0,,G,1.0,0.9505,12.977409906735122,0.0,0.34948081491706995,1.0,1.0,0.404844244475121
TOI-654.01,TOI-654,2.378,8.71,0.01944,3521.0,0.419,794.0,Transit,2024,1.527561,0.0,0.43,4.793,65.0,0.047615580174507774,0.20729944791893024,0.2989476248936152,0.2531235364062727,0.09164817697468497,0.07680044406774593,False,-1.1146362688276796,0.5920663114268798,0.2059732234809475,0.5323475046210722,0.4019068851822284,0.5614134158161008,1.913829093684123,1.0,65.0,M,0.6,0.3,87.99640757592246,0.0,0.5614134158161008,1.0,0.6,0.42842402474483027
