pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,stellar_luminosity,hz_position,in_habitable_zone,esi_radius,esi_mass,esi_temperature,esi_surface,escape_velocity_ratio,stellar_flux,habitability_score,ml_target,is_habitable_optimized,is_habitable_relaxed,habitability_class_ml,pl_name,hostname
4.95,,0.0635,5050.0,0.87,805.0,0.6142107088596144,0.069848493555081,False,0.3361344537815126,,0.5269899359560841,0.4208794058527367,,,0.316263821755821,0,0,0,Limited,TOI-880 c,TOI-880
2.19,,0.0349,5050.0,0.87,1085.0,0.6142107088596144,0.0383891720483831,False,0.6269592476489028,,0.4195193008011653,0.5128562227413179,,,0.3438568668223954,0,0,1,Limited,TOI-880.02,TOI-880
11.21,82.58,0.0453,4792.0,0.83,971.0,0.5209227484918181,0.0541070119957978,False,0.1638001638001638,0.0239291696578128,0.4575059571088165,0.2737508917135702,2.714154920285747,,0.3721252675140711,0,0,0,Limited,WASP-69 b,WASP-69
1.315,2.4,0.03293,4796.0,0.79,1127.0,0.4382226487318861,0.0428831156954896,False,0.8639308855291576,0.5882352941176471,0.4070671378091872,0.593024344219789,1.3509607903393128,269.0,0.4679073032659367,1,1,1,Promising,K2-233 b,K2-233
1.272,4.6,0.0664,4796.0,0.79,794.0,0.4382226487318861,0.0864694467713487,False,0.8802816901408451,0.3571428571428572,0.5323475046210722,0.6845551556376585,1.9016708972001075,66.2,0.4953665466912976,1,1,1,Promising,K2-233 c,K2-233
2.363,10.3,0.1516,4796.0,0.79,525.0,0.4382226487318861,0.1974212067851877,False,0.5947071067499257,0.1769911504424778,0.7084870848708487,0.64910885405549,2.0877897040884346,12.7,0.484732656216647,0,0,1,Limited,K2-233 d,K2-233
3.08,10.3,0.1223,5770.0,0.97,950.0,0.8988786596538656,0.1112033659477966,False,0.4901960784313726,0.1769911504424778,0.4652665589660743,0.4775686784436649,1.828703323165309,,0.4432706035330994,0,0,0,Limited,TOI-5817 b,TOI-5817
2.46,9.5,0.0344,4850.0,0.778,1108.0,0.4153637478489655,0.0460135942575544,False,0.5780346820809248,0.1904761904761904,0.4126074498567335,0.4883660677219067,1.965143408987288,,0.4365098203165721,0,0,1,Limited,TOI-5800 b,TOI-5800
5.62,23.66,0.064,5715.0,0.901,1136.78,0.6942833789448168,0.0662145757132935,False,0.3021148036253777,0.08110300081103,0.4042729403837786,0.3494808149170699,2.0518197807827536,,0.404844244475121,0,0,0,Limited,TOI-5795 b,TOI-5795
2.378,8.71,0.01944,3521.0,0.419,794.0,0.0476155801745077,0.0768004440677459,False,0.5920663114268798,0.2059732234809475,0.5323475046210722,0.5614134158161008,1.913829093684123,65.0,0.4284240247448302,0,0,1,Limited,TOI-654.01,TOI-654
13.2,224.0,0.02603,3363.0,0.344,593.0,0.0238756140009061,0.14522417045174,False,0.1408450704225352,0.0088888888888888,0.6538024971623155,0.303454871035638,4.119429204355498,20.6,0.3510364613106914,0,0,0,Limited,TOI-7149 b,TOI-7149
1.84,4.57,0.0464,4041.0,0.577,682.0,0.1459201764169466,0.104713413773804,False,0.704225352112676,0.3590664272890485,0.5938144329896907,0.6466677494368758,1.575974508732268,36.2,0.4840003248310627,0,0,1,Moderate,Ross 176 b,Ross 176
1.982,4.15,0.0706,5075.0,0.849,,0.5638673081804778,0.081050976931779,False,0.6706908115358821,0.3883495145631067,,,1.4470123017489225,,0.29,0,0,1,Moderate,HD 235088 b,HD 235088
13.7646283,397.28550875,0.0515,6370.0,1.363,1693.0,2.956211454423779,0.0258215014736268,False,0.1354588791104209,0.0050215233948051,0.2907622412922767,0.198459888373156,5.3724096186522,1370.0,0.3295379665119468,0,0,0,Limited,TOI-3464 b,TOI-3464
12.50922246,329.58805806,0.0896,6270.0,1.42,1364.0,3.4120014365091462,0.041816282180712,False,0.1480470105457128,0.0060498253074737,0.3486682808716707,0.2271988042555765,5.132991863017091,577.0,0.338159641276673,0,0,0,Limited,TOI-2169 A b,TOI-2169 A
14.67255574,193.87532827,0.0502,6020.0,1.121,1451.0,1.4914875897908408,0.0354352830261325,False,0.1276116054827953,0.0102629718074367,0.3312248418631397,0.2055921541448998,3.6350332610236658,740.0,0.3316776462434699,0,0,0,Limited,TOI-3474 b,TOI-3474
